state,city,population,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society
Illinois,Hopedale,809,0,0,0,0
Illinois,Hudson,"1,733",3,0,3,0
Illinois,Huntley,"28,223",606,163,382,61
Illinois,Indianola,223,0,0,0,0
Illinois,Inverness,"7,314",41,8,31,2
Illinois,Jacksonville,"17,731","1,058",281,653,124
Illinois,Jerseyville,"8,271",404,110,211,83
Illinois,Johnsburg,"6,395",89,20,65,4
Illinois,Joliet,"150,545","6,027","2,384","3,138",505
Illinois,Kenilworth,"2,404",33,0,33,0
Illinois,Kildeer,"4,240",76,5,69,2
Illinois,Kincaid,"1,379",14,0,1,13
Illinois,Kingston,"1,099",7,0,7,0
Illinois,Lacon,"1,857",10,7,1,2
Illinois,La Grange,"15,699",406,94,303,9
Illinois,La Grange Park,"12,992",246,51,181,14
Illinois,Lake Forest,"19,201",274,28,227,19
Illinois,Lake in the Hills,"28,961",420,166,223,31
Illinois,Lakemoor,"6,285",139,26,110,3
Illinois,Lake Zurich,"19,571",608,127,459,22
Illinois,Lanark,"1,592",9,0,7,2
Illinois,Lansing,"27,828","1,959",486,"1,369",104
Illinois,La Salle,"9,450",73,36,33,4
Illinois,Leland,927,7,2,3,2
Illinois,Lemont,"17,394",219,50,167,2
Illinois,Le Roy,"3,448",79,14,50,15
Illinois,Libertyville,"20,434",163,58,80,25
Illinois,Lincoln,"13,119",382,162,136,84
Illinois,Lincolnshire,"7,931",199,33,134,32
Illinois,Lindenhurst,"14,242",128,31,96,1
Illinois,Litchfield,"6,705",709,127,422,160
Illinois,Lockport,"26,079",509,130,349,30
Illinois,Loves Park,"23,222","1,133",388,594,151
Illinois,Lovington,"1,061",42,16,26,0
Illinois,Machesney Park,"22,558",932,339,434,159
Illinois,Mackinaw,"1,851",61,8,41,12
Illinois,Mahomet,"9,709",242,69,144,29
Illinois,Manhattan,"10,569",199,24,124,51
Illinois,Manito,"1,511",27,3,19,5
Illinois,Maple Park,"1,506",14,5,9,0
Illinois,Marseilles,"4,785",127,43,75,9
Illinois,Marshall,"3,867",215,45,83,87
Illinois,Maryville,"8,194",133,30,52,51
Illinois,Mascoutah,"8,622",119,22,63,34
Illinois,Mason City,"2,011",36,19,16,1
Illinois,McHenry,"27,610",661,167,413,81
Illinois,McLeansboro,"2,586",98,28,13,57
Illinois,McNabb,269,0,0,0,0
Illinois,Melrose Park,"23,739",993,294,647,52
Illinois,Metropolis,"5,849",410,112,260,38
Illinois,Midlothian,"13,721",449,148,272,29
Illinois,Milan,"4,994",319,107,194,18
Illinois,Milledgeville,"1,082",8,0,8,0
Illinois,Millstadt,"3,986",35,4,28,3
Illinois,Mokena,"19,829",457,68,365,24
Illinois,Moline,"42,009","3,396","1,053","2,021",322
Illinois,Monee,"5,090",270,47,204,19
Illinois,Monmouth,"8,652",306,90,195,21
Illinois,Montgomery,"22,257",698,269,386,43
Illinois,Morris,"14,511",595,164,362,69
Illinois,Morrison,"4,027",86,30,52,4
Illinois,Morton,"17,169",474,124,306,44
Illinois,Morton Grove,"24,238",674,101,541,32
Illinois,Mount Carmel,"6,733",162,63,38,61
Illinois,Mount Carroll,"1,512",23,7,15,1
Illinois,Mount Prospect,"54,477","1,557",519,932,106
Illinois,Mount Pulaski,"1,516",3,0,2,1
Illinois,Mount Zion,"5,867",129,24,83,22
Illinois,Mundelein,"31,561",842,159,524,159
Illinois,Murphysboro,"6,973",793,271,337,185
Illinois,Naperville,"148,929","4,231","1,184","2,449",598
Illinois,Neoga,"1,367",67,20,24,23
Illinois,New Athens,"1,902",30,8,12,10
Illinois,New Baden,"3,362",45,15,26,4
Illinois,New Lenox,"27,699",743,124,576,43
Illinois,Newman,761,23,8,14,1
Illinois,Niles,"29,784","1,331",141,"1,010",180
Illinois,Normal,"53,613","2,409",946,"1,301",162
Illinois,Northfield,"5,534",148,10,128,10
Illinois,Oak Lawn,"55,957","2,433",626,"1,437",370
Illinois,Oak Park,"52,152","2,933",547,"2,347",39
Illinois,Oakwood,"1,296",60,16,37,7
Illinois,O'Fallon,"32,250","1,086",197,670,219
Illinois,Oglesby,"3,638",34,16,15,3
Illinois,Olney,"8,681",530,126,253,151
Illinois,Olympia Fields,"4,573",278,51,223,4
Illinois,Onarga,"1,308",2,0,2,0
Illinois,Oswego,"35,932",623,175,338,110
Illinois,Ottawa,"18,696",804,372,329,103
Illinois,Palatine,"65,078","1,824",485,"1,121",218
Illinois,Palestine,"1,224",32,9,12,11
Illinois,Palos Heights,"11,602",322,40,237,45
Illinois,Palos Hills,"17,790",365,127,224,14
Illinois,Palos Park,"4,819",52,2,49,1
Illinois,Park Forest,"20,896","1,040",374,584,82
Illinois,Pecatonica,"2,044",31,7,20,4
Illinois,Pekin,"31,252","2,197",711,"1,156",330
Illinois,Peoria,"110,551","12,677","4,533","6,746","1,398"
Illinois,Peoria Heights,"5,764",547,162,302,83
Illinois,Peotone,"4,209",82,18,52,12
Illinois,Peru,"9,793",288,77,200,11
Illinois,Phoenix,"1,634",90,28,61,1
Illinois,Pingree Grove,"11,078",97,23,66,8
Illinois,Pittsfield,"4,182",244,67,86,91
Illinois,Plainfield,"46,004",940,243,608,89
Illinois,Plano,"12,474",294,126,142,26
Illinois,Pleasant Hill,915,0,0,0,0
Illinois,Polo,"2,246",11,6,5,0
Illinois,Pontiac,"11,333",372,134,187,51
Illinois,Potomac,669,2,0,1,1
Illinois,Princeton,"7,630",200,98,101,1
Illinois,Prophetstown,"1,922",11,6,5,0
Illinois,Prospect Heights,"15,404",479,129,317,33
Illinois,Rantoul,"11,971",912,399,444,69
Illinois,River Forest,"11,403",259,31,220,8
Illinois,River Grove,"10,504",383,126,247,10
Illinois,Riverwoods,"3,744",54,14,39,1
Illinois,Robinson,"7,189",347,110,153,84
Illinois,Rochester,"3,827",87,37,42,8
Illinois,Rock Falls,"8,687",716,246,403,67
Illinois,Rockford,"146,710","14,660","5,594","7,956","1,110"
Illinois,Rock Island,"36,235","2,676",964,"1,544",168
Illinois,Rockton,"7,738",247,33,160,54
Illinois,Rolling Meadows,"23,453",896,263,606,27
Illinois,Romeoville,"41,069","1,307",467,700,140
Illinois,Roscoe,"10,815",249,83,136,30
Illinois,Rosemont,"3,779",805,252,522,31
Illinois,Rossville,"1,187",15,9,6,0
Illinois,Round Lake Beach,"26,928",447,112,298,37
Illinois,Roxana,"1,438",60,23,22,15
Illinois,Ruma ,308,1,0,1,0
Illinois,Salem,"7,136",248,77,166,5
Illinois,Sandwich,"7,167",55,25,25,5
Illinois,San Jose,462,0,0,0,0
Illinois,Schaumburg,"75,745","3,639",641,"2,420",578
Illinois,Sherman,"4,603",37,7,28,2
Illinois,Shiloh,"14,616",358,111,227,20
Illinois,Shorewood,"18,326",397,115,250,32
Illinois,Sidell,476,0,0,0,0
Illinois,Silvis,"7,922",645,163,466,16
Illinois,Skokie,"65,185","3,532",909,"2,454",169
Illinois,Sleepy Hollow,"3,160",21,6,15,0
Illinois,Somonauk,"1,774",31,10,21,0
Illinois,South Barrington,"4,973",200,22,160,18
Illinois,South Beloit,"7,893",286,80,171,35
Illinois,South Chicago Heights,"3,848",317,111,183,23
Illinois,South Elgin,"23,995",515,203,285,27
Illinois,Southern View,"1,553",101,28,69,4
Illinois,South Holland,"20,626","1,148",243,679,226
Illinois,South Roxana,"1,884",47,16,22,9
Illinois,Sparta,"4,681",221,72,67,82
Illinois,Springfield,"112,549","15,397","5,159","8,952","1,286"
Illinois,Spring Valley,"5,415",241,102,123,16
Illinois,Stanford,590,18,2,16,0
Illinois,St. Anne,"1,111",31,7,23,1
Illinois,St. Charles,"32,973","1,138",278,785,75
Illinois,Steger,"9,325",552,180,332,40
Illinois,Sterling,"14,681",823,259,441,123
Illinois,Stickney,"6,841",102,25,71,6
Illinois,Stone Park,"4,386",59,37,18,4
Illinois,Streamwood,"37,923","1,014",294,668,52
Illinois,Streator,"12,303",257,102,138,17
Illinois,Sullivan,"4,385",62,30,18,14
Illinois,Swansea,"14,068",468,79,271,118
Illinois,Sycamore,"18,673",598,151,395,52
Illinois,Thornton,"2,289",100,19,70,11
Illinois,Tilton,"2,584",262,62,151,49
Illinois,Tinley Park,"53,973","1,867",548,"1,153",166
Illinois,Tolono,"3,489",94,17,76,1
Illinois,Toluca,"1,333",25,6,19,0
Illinois,Trenton,"2,630",13,6,5,2
Illinois,Troy,"11,260",210,52,134,24
Illinois,Tuscola,"4,656",82,29,38,15
Illinois,Union,552,5,2,3,0
Illinois,University Park,"7,038",311,70,221,20
Illinois,Valmeyer,"1,216",19,6,11,2
Illinois,Vandalia,"6,812",146,31,115,0
Illinois,Vernon Hills,"26,717",908,233,605,70
Illinois,Villa Park,"21,752",848,196,598,54
Illinois,Virden,"3,159",174,44,94,36
Illinois,Washington,"15,910",335,45,237,53
Illinois,Watseka,"4,587",256,70,149,37
Illinois,Wauconda,"13,945",117,24,88,5
Illinois,Wayne,"2,240",8,0,8,0
Illinois,West Dundee,"7,727",280,133,137,10
Illinois,Western Springs,"13,175",133,7,119,7
Illinois,Westville,"3,084",121,37,76,8
Illinois,Wheeling,"37,790","1,132",346,741,45
Illinois,Willow Springs,"5,628",59,4,54,1
Illinois,Wilmette,"27,144",699,55,597,47
Illinois,Wilmington,"5,602",173,57,105,11
Illinois,Winfield,"10,460",93,46,42,5
Illinois,Winnebago,"2,885",83,26,45,12
Illinois,Winnetka,"12,277",311,36,228,47
Illinois,Wood River,"10,350",673,148,459,66
Illinois,Woodstock,"25,778",727,161,463,103
Illinois,Worden,"1,092",3,1,2,0
Illinois,Worth,"10,507",371,128,217,26
Illinois,Yorkville,"23,635",416,157,239,20
Illinois,Zion,"24,348","1,244",408,724,112
Indiana,Albion,"2,232",65,17,36,12
Indiana,Anderson,"54,965","3,459","1,097","1,974",388
Indiana,Angola,"9,022",510,108,312,90
Indiana,Auburn,"13,645",430,84,218,128
Indiana,Avon,"24,167","1,080",248,739,93
Indiana,Bargersville,"10,791",180,29,107,44
Indiana,Bedford,"13,824",555,126,153,276
Indiana,Beech Grove,"14,401",824,223,435,166
Indiana,Bloomington,"80,135","5,938","1,652","3,580",706
Indiana,Bluffton,"10,327",251,65,122,64
Indiana,Bristol,"1,783",198,44,92,62
Indiana,Brownsburg,"31,072",741,184,397,160
Indiana,Butler,"2,646",75,29,36,10
Indiana,Carmel,"101,670","2,441",380,"1,489",572
Indiana,Cedar Lake,"15,271",303,72,112,119
Indiana,Charlestown,"8,482",396,135,112,149
Indiana,Chesterton,"14,487",246,73,142,31
Indiana,Cicero,"5,537",110,29,21,60
Indiana,Clarksville,"21,890","1,906",301,"1,093",512
Indiana,Claypool,396,102,3,11,88
Indiana,Columbia City,"10,027",510,76,176,258
Indiana,Crawfordsville,"16,449","1,171",348,349,474
Indiana,Cumberland,"6,388",388,73,272,43
Indiana,Danville,"10,925",294,74,121,99
Indiana,Dayton,"1,348",59,23,31,5
Indiana,Dyer,"16,351",207,32,70,105
Indiana,Edinburgh,"4,431",186,20,80,86
Indiana,Elkhart,"53,947","4,344","1,440","2,045",859
Indiana,Elwood,"8,397",534,131,122,281
Indiana,Evansville,"115,719","12,313","3,905","5,568","2,840"
Indiana,Fishers,"102,921","2,098",341,"1,400",357
Indiana,Fort Wayne,"267,791","14,567","4,658","8,194","1,715"
Indiana,Frankfort,"16,572",226,79,86,61
Indiana,Franklin,"25,714","1,107",188,613,306
Indiana,Fremont,"2,092",65,13,30,22
Indiana,Goshen,"34,697","2,405",698,"1,433",274
Indiana,Greenfield,"24,596",836,251,389,196
Indiana,Greenwood,"65,813","3,211",501,"1,803",907
Indiana,Griffith,"16,218",494,100,271,123
Indiana,Hammond,"76,366","5,452","2,014","3,122",316
Indiana,Hartford City,"6,060",90,41,19,30
Indiana,Highland,"23,498",701,104,529,68
Indiana,Hobart,"29,374","1,650",447,920,283
Indiana,Huntingburg,"6,459",143,50,43,50
Indiana,Huntington,"17,030",615,110,316,189
Indiana,Indianapolis,"886,455","68,610","22,637","39,099","6,874"
Indiana,Jasper,"16,699",352,114,127,111
Indiana,Jeffersonville,"51,150","2,279",920,"1,057",302
Indiana,Kendallville,"10,153",506,116,171,219
Indiana,Knox,"3,583",184,56,47,81
Indiana,Kokomo,"59,776","3,451","1,123","1,422",906
Indiana,Lafayette,"70,861","6,280","2,731","2,320","1,229"
Indiana,La Porte,"22,371",996,382,471,143
Indiana,Lawrence,"49,421","2,313",699,"1,332",282
Indiana,Lebanon,"17,042",772,245,271,256
Indiana,Linton,"5,147",431,114,216,101
Indiana,Logansport,"18,195",924,220,426,278
Indiana,Lowell,"11,204",178,40,36,102
Indiana,Marion,"28,108","1,614",499,796,319
Indiana,McCordsville,"10,193",301,37,174,90
Indiana,Michigan City,"32,051","2,804",829,"1,601",374
Indiana,Mishawaka,"51,022","2,889",854,"1,786",249
Indiana,Mount Vernon,"6,380",385,116,178,91
Indiana,Muncie,"65,343","3,163","1,051","2,025",87
Indiana,Munster,"23,628",538,56,269,213
Indiana,Nappanee,"6,857",409,57,111,241
Indiana,New Albany,"37,198","2,489",531,"1,466",492
Indiana,New Carlisle,"1,901",49,17,26,6
Indiana,New Haven,"15,856",726,310,308,108
Indiana,New Palestine,"2,976",59,14,21,24
Indiana,New Whiteland,"5,597",82,23,46,13
Indiana,North Vernon,"6,455",479,122,202,155
Indiana,North Webster,993,88,11,52,25
Indiana,Osceola,"2,588",53,17,34,2
Indiana,Pendleton,"4,974",150,32,13,105
Indiana,Pittsboro,"4,145",72,27,27,18
Indiana,Plainfield,"36,189","1,587",365,957,265
Indiana,Portage,"38,438","1,192",365,538,289
Indiana,Porter,"5,258",62,19,25,18
Indiana,Prince's Lakes,"1,372",31,2,23,6
Indiana,Roseland,849,151,66,57,28
Indiana,Sellersburg,"9,784",245,95,84,66
Indiana,Seymour,"21,415","1,094",244,481,369
Indiana,Shelbyville,"20,074",843,208,398,237
Indiana,Sheridan,"3,079",58,28,18,12
Indiana,Silver Lake,870,71,10,23,38
Indiana,Speedway,"13,612",832,220,535,77
Indiana,Syracuse,"3,063",124,46,54,24
Indiana,Tell City,"7,587",364,82,177,105
Indiana,Terre Haute,"58,507","6,783","2,282","3,597",904
Indiana,Valparaiso,"34,708",932,208,526,198
Indiana,Vincennes,"16,487",980,233,586,161
Indiana,Walkerton,"2,080",82,33,31,18
Indiana,Warsaw,"15,952","1,234",292,452,490
Indiana,Washington,"12,090",437,181,152,104
Indiana,Westfield,"54,552","1,570",387,825,358
Indiana,West Lafayette,"44,891","1,289",336,628,325
Indiana,Whiteland,"4,835",102,29,62,11
Indiana,Whitestown,"11,909",430,81,216,133
Indiana,Whiting,"4,532",247,95,125,27
Indiana,Winona Lake,"5,066",115,49,46,20
Indiana,Zionsville,"32,575",420,61,219,140
Iowa,Adel,"6,377",271,72,152,47
Iowa,Albia,"3,717",151,38,56,57
Iowa,Algona,"5,257",98,40,18,40
Iowa,Altoona,"21,830",578,95,402,81
Iowa,Ames,"66,852","2,208",511,"1,509",188
Iowa,Ankeny,"72,315","2,276",613,"1,233",430
Iowa,Asbury,"6,005",72,11,49,12
Iowa,Atlantic,"6,726",318,101,178,39
Iowa,Audubon,"2,018",72,6,50,16
Iowa,Belle Plaine,"2,340",73,18,34,21
Iowa,Bettendorf,"39,548","1,431",150,850,431
Iowa,Bloomfield,"2,694",26,8,9,9
Iowa,Burlington,"23,497","1,951",446,"1,334",171
Iowa,Camanche,"4,587",119,32,65,22
Iowa,Carlisle,"4,225",197,46,87,64
Iowa,Carroll,"10,195",316,59,201,56
Iowa,Carter Lake,"3,768",401,68,236,97
Iowa,Cedar Rapids,"135,362","9,269","2,119","5,984","1,166"
Iowa,Centerville,"5,303",259,51,181,27
Iowa,Charles City,"7,211",191,61,106,24
Iowa,Clarinda,"5,499",250,84,116,50
Iowa,Clear Lake,"7,501",536,150,269,117
Iowa,Clinton,"24,443","2,239",503,"1,365",371
Iowa,Clive,"18,984",734,130,385,219
Iowa,Colfax,"2,246",48,14,24,10
Iowa,Coralville,"23,555","1,206",247,895,64
Iowa,Council Bluffs,"62,206","4,126",897,"2,675",554
Iowa,Creston,"7,438",354,97,160,97
Iowa,Davenport,"100,437","10,580","2,505","6,395","1,680"
Iowa,Decorah,"7,764",48,17,17,14
Iowa,Denison,"8,048",263,91,129,43
Iowa,DeWitt,"5,528",258,57,183,18
Iowa,Dubuque,"58,676","4,106","1,495","1,942",669
Iowa,Dyersville,"4,516",83,24,49,10
Iowa,Eldora,"2,621",114,80,26,8
Iowa,Eldridge,"6,770",153,27,85,41
Iowa,Emmetsburg,"3,612",72,20,29,23
Iowa,Estherville,"5,847",144,50,56,38
Iowa,Evansdale,"4,486",209,38,126,45
Iowa,Fairfield,"9,641",258,67,161,30
Iowa,Fort Dodge,"25,097","2,339",616,"1,455",268
Iowa,Fort Madison,"10,084",640,147,346,147
Iowa,Glenwood,"5,195",218,52,85,81
Iowa,Grinnell,"9,474",484,150,275,59
Iowa,Grundy Center,"2,804",42,14,21,7
Iowa,Harlan,"4,936",98,40,20,38
Iowa,Hiawatha,"7,109",250,40,194,16
Iowa,Independence,"6,236",275,64,111,100
Iowa,Indianola,"15,817","1,025",352,459,214
Iowa,Iowa City,"74,749","3,944","1,110","2,192",642
Iowa,Iowa Falls,"5,023",287,74,127,86
Iowa,Johnston,"24,295",573,171,295,107
Iowa,Keokuk,"9,702",534,145,314,75
Iowa,Knoxville,"7,366",481,127,226,128
Iowa,Lake City,"1,721",53,14,38,1
Iowa,Lansing,945,29,12,17,0
Iowa,Le Mars,"10,564",439,117,165,157
Iowa,Manchester,"5,134",277,58,129,90
Iowa,Maquoketa,"6,035",396,98,213,85
Iowa,Marengo,"2,411",139,64,61,14
Iowa,Marion,"41,793","1,431",302,794,335
Iowa,Mar-Mac,"1,152",37,14,18,5
Iowa,Marshalltown,"27,207","1,508",382,783,343
Iowa,Mason City,"27,032","1,644",334,"1,159",151
Iowa,Monroe,"2,042",72,5,17,50
Iowa,Monticello,"4,071",96,18,71,7
Iowa,Mount Pleasant,"8,959",286,91,164,31
Iowa,Mount Vernon-Lisbon,"4,435",131,34,65,32
Iowa,Muscatine,"23,237","1,223",370,670,183
Iowa,Newton,"15,563",811,315,377,119
Iowa,North Liberty,"21,131",328,108,154,66
Iowa,Norwalk,"14,299",156,46,71,39
Iowa,Oelwein,"5,788",190,48,83,59
Iowa,Osage,"3,528",80,26,33,21
Iowa,Osceola,"5,654",263,58,142,63
Iowa,Oskaloosa,"11,479",646,184,288,174
Iowa,Ottumwa,"25,249","2,633",651,"1,427",555
Iowa,Pella,"10,729",278,93,138,47
Iowa,Perry,"7,986",298,97,137,64
Iowa,Polk City,"5,920",113,19,39,55
Iowa,Postville,"2,434",75,27,37,11
Iowa,Preston,935,40,4,23,13
Iowa,Red Oak,"5,568",275,80,131,64
Iowa,Rock Valley,"4,106",37,10,21,6
Iowa,Sabula,491,35,11,22,2
Iowa,Sheldon,"5,385",180,55,68,57
Iowa,Shenandoah,"4,861",222,57,101,64
Iowa,Sioux Center,"8,340",92,24,44,24
Iowa,Sioux City,"85,580","6,726","1,781","4,164",781
Iowa,Spencer,"11,440",388,86,163,139
Iowa,Spirit Lake,"5,448",325,100,172,53
Iowa,Storm Lake,"11,274",649,214,247,188
Iowa,Story City,"3,443",87,16,65,6
Iowa,Urbandale,"46,284","1,071",222,542,307
Iowa,Washington,"7,209",493,176,260,57
Iowa,Waterloo,"66,504","5,153","1,213","2,791","1,149"
Iowa,Waukee,"28,790",715,202,369,144
Iowa,Waukon,"3,706",146,61,82,3
Iowa,Waverly,"10,445",420,132,199,89
Iowa,Webster City,"7,689",290,102,120,68
Iowa,West Burlington,"3,177",481,58,351,72
Iowa,West Des Moines,"70,701","3,043",598,"1,732",713
Iowa,West Liberty,"3,796",72,32,29,11
Iowa,Williamsburg,"3,362",111,43,53,15
Iowa,Windsor Heights,"5,108",330,38,213,79
Kansas,Abilene,"6,489",370,75,169,126
Kansas,Andover,"15,842",606,127,378,101
Kansas,Anthony,"1,993",74,30,29,15
Kansas,Arkansas City,"11,902","1,195",317,619,259
Kansas,Arma,"1,407",122,28,78,16
Kansas,Atchison,"10,650",605,164,403,38
Kansas,Atwood,"1,279",54,14,32,8
Kansas,Augusta,"9,256",759,168,475,116
Kansas,Baldwin City,"4,955",136,51,61,24
Kansas,Basehor,"7,546",208,50,142,16
Kansas,Baxter Springs,"3,826",255,44,117,94
Kansas,Bel Aire,"8,599",278,49,191,38
Kansas,Belleville,"2,015",73,21,42,10
Kansas,Beloit,"3,396",155,61,45,49
Kansas,Benton,942,24,6,11,7
Kansas,Bonner Springs,"7,731",606,130,301,175
Kansas,Burlington,"2,637",121,34,62,25
Kansas,Caney,"1,745",72,24,39,9
Kansas,Carbondale,"1,339",37,9,16,12
Kansas,Cherryvale,"2,146",114,36,64,14
Kansas,Clay Center,"4,105",338,111,146,81
Kansas,Clearwater,"2,607",110,10,35,65
Kansas,Coffeyville,"8,788","1,008",235,545,228
Kansas,Colby,"5,488",452,116,234,102
Kansas,Columbus,"2,857",158,50,91,17
Kansas,Concordia,"5,002",348,136,195,17
Kansas,Council Grove,"2,116",112,17,40,55
Kansas,Derby,"25,907","1,525",275,993,257
Kansas,Dodge City,"27,641","1,837",442,"1,022",373
Kansas,Edwardsville,"4,574",805,131,241,433
Kansas,El Dorado,"12,821",567,130,394,43
Kansas,Elkhart,"1,882",44,12,20,12
Kansas,Ellinwood,"1,970",44,14,24,6
Kansas,Ellsworth,"2,997",82,30,38,14
Kansas,Eudora,"6,480",135,36,52,47
Kansas,Fairway,"4,171",171,12,85,74
Kansas,Fort Scott,"7,501",559,121,356,82
Kansas,Frontenac,"3,415",96,14,70,12
Kansas,Galena,"2,737",149,52,60,37
Kansas,Garden City,"27,701","2,535",632,"1,442",461
Kansas,Gardner,"24,497","1,010",284,355,371
Kansas,Garnett,"3,150",183,46,61,76
Kansas,Girard,"2,517",145,59,68,18
Kansas,Goodland,"4,459",305,87,147,71
Kansas,Great Bend,"14,456","1,164",419,559,186
Kansas,Greensburg,696,82,6,13,63
Kansas,Halstead,"2,159",76,17,34,25
Kansas,Haysville,"11,308",429,137,216,76
Kansas,Hesston,"3,493",90,33,39,18
Kansas,Hiawatha,"3,239",235,88,127,20
Kansas,Hillsboro,"2,724",158,28,104,26
Kansas,Hoisington,"2,629",89,39,35,15
Kansas,Holton,"3,317",206,24,85,97
Kansas,Horton,"1,510",84,30,16,38
Kansas,Hugoton,"3,795",79,28,27,24
Kansas,Hutchinson,"39,424","3,726",887,"1,887",952
Kansas,Independence,"8,402",748,197,479,72
Kansas,Iola,"5,302",606,154,299,153
Kansas,Junction City,"21,927","2,620",890,"1,284",446
Kansas,Kingman,"3,021",55,16,30,9
Kansas,Lansing,"11,200",434,106,296,32
Kansas,Larned,"3,607",220,77,100,43
Kansas,Lawrence,"95,580","6,404","2,048","3,924",432
Kansas,Leavenworth,"37,004","2,847",902,"1,666",279
Kansas,Leawood,"33,596","1,509",172,"1,070",267
Kansas,Lenexa,"59,289","3,048",532,"1,695",821
Kansas,Liberal,"19,557",984,295,468,221
Kansas,Louisburg,"5,023",154,35,83,36
Kansas,Maize,"6,275",413,146,172,95
Kansas,Marysville,"3,405",206,47,107,52
Kansas,McLouth,858,19,3,0,16
Kansas,McPherson,"13,853",801,249,445,107
Kansas,Merriam,"10,928","1,594",276,941,377
Kansas,Minneapolis,"1,974",97,52,38,7
Kansas,Mission,"9,787","1,303",178,830,295
Kansas,Mission Hills,"3,540",166,9,146,11
Kansas,Mulvane,"6,844",261,49,165,47
Kansas,Neodesha,"2,233",143,25,35,83
Kansas,Newton,"18,337","1,755",641,802,312
Kansas,Olathe,"144,646","6,373","1,709","3,181","1,483"
Kansas,Osage City,"2,840",153,80,61,12
Kansas,Ottawa,"12,586",794,191,411,192
Kansas,Overland Park,"196,626","10,707","2,387","7,668",652
Kansas,Oxford,"1,048",36,18,13,5
Kansas,Paola,"5,808",244,82,121,41
Kansas,Park City,"8,565",947,155,641,151
Kansas,Parsons,"9,369","1,157",313,692,152
Kansas,Pittsburg,"20,774","2,213",416,"1,576",221
Kansas,Pleasanton,"1,244",80,11,10,59
Kansas,Prairie Village,"22,835",743,103,533,107
Kansas,Roeland Park,"6,762",423,45,331,47
Kansas,Sabetha,"2,517",56,20,22,14
Kansas,Salina,"46,161","5,005","1,217","3,019",769
Kansas,Scott City,"4,100",127,49,38,40
Kansas,Shawnee,"67,617","2,880",736,"1,697",447
Kansas,Spring Hill,"9,024",342,104,185,53
Kansas,Tonganoxie,"5,836",123,26,59,38
Kansas,Topeka,"125,658","12,749","3,469","8,126","1,154"
Kansas,Ulysses,"5,764",64,31,15,18
Kansas,Valley Center,"7,463",235,66,111,58
Kansas,Wellington,"7,641",719,235,393,91
Kansas,Wellsville,"1,922",44,9,24,11
Kansas,Westwood,"1,729",172,17,136,19
Kansas,Wichita,"394,286","43,350","12,856","25,287","5,207"
Kansas,Winfield,"11,713",928,237,566,125
Kentucky,Adairville,876,15,5,2,8
Kentucky,Albany,"1,749",13,0,7,6
Kentucky,Alexandria,"10,416",410,122,205,83
Kentucky,Anchorage,"2,470",29,2,25,2
Kentucky,Ashland,"21,300","1,121",237,729,155
Kentucky,Auburn,"1,625",10,3,5,2
Kentucky,Audubon Park,"1,411",23,3,20,0
Kentucky,Augusta,"1,104",47,12,10,25
Kentucky,Bancroft,500,7,1,4,2
Kentucky,Barbourville,"2,952",262,37,75,150
Kentucky,Bardstown,"13,712",624,98,392,134
Kentucky,Bardwell,707,11,5,2,4
Kentucky,Beattyville,"2,065",17,0,13,4
Kentucky,Beaver Dam,"3,538",68,14,29,25
Kentucky,Bellefonte,902,3,0,3,0
Kentucky,Bellevue,"5,534",190,39,100,51
Kentucky,Benton,"4,771",203,34,110,59
Kentucky,Berea,"16,229",591,114,283,194
Kentucky,Bloomfield,978,0,0,0,0
Kentucky,Booneville,154,0,0,0,0
Kentucky,Bowling Green,"74,427","6,381","1,060","4,578",743
Kentucky,Brandenburg,"2,952",127,13,51,63
Kentucky,Brodhead,"1,105",14,2,1,11
Kentucky,Brooksville,662,8,4,2,2
Kentucky,Brownsville,943,34,5,6,23
Kentucky,Burgin,"1,005",21,2,7,12
Kentucky,Burkesville,"1,347",12,2,8,2
Kentucky,Burnside,699,37,1,19,17
Kentucky,Cadiz,"2,840",182,59,55,68
Kentucky,Calvert City,"2,521",126,21,61,44
Kentucky,Campbellsville,"11,548",634,166,280,188
Kentucky,Caneyville,526,2,0,0,2
Kentucky,Carlisle,"2,160",71,23,27,21
Kentucky,Carrollton,"3,898",219,51,39,129
Kentucky,Catlettsburg,"1,724",47,17,27,3
Kentucky,Cave City,"2,347",149,49,23,77
Kentucky,Centertown,414,5,0,5,0
Kentucky,Central City,"5,884",330,85,157,88
Kentucky,Clarkson,943,0,0,0,0
Kentucky,Clay,998,30,3,9,18
Kentucky,Clay City,"1,204",35,3,9,23
Kentucky,Clinton,"1,236",7,5,2,0
Kentucky,Coal Run Village,"1,627",35,4,23,8
Kentucky,Cold Spring,"6,272",176,27,98,51
Kentucky,Columbia,"4,995",101,29,26,46
Kentucky,Corbin,"7,762",503,74,266,163
Kentucky,Covington,"40,657","3,352",691,"1,363","1,298"
Kentucky,Crab Orchard,742,0,0,0,0
Kentucky,Cumberland,"1,856",29,10,6,13
Kentucky,Cynthiana,"6,429",262,81,109,72
Kentucky,Danville,"17,323",767,214,357,196
Kentucky,Dawson Springs,"2,431",49,5,35,9
Kentucky,Dayton,"5,685",209,77,101,31
Kentucky,Dry Ridge,"2,128",22,0,22,0
Kentucky,Eddyville,"2,323",47,15,18,14
Kentucky,Edgewood,"8,372",126,26,76,24
Kentucky,Edmonton,"1,696",81,16,36,29
